#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Koala2
#Serial Number: SN:210321A29A7B
#Date Time: 2017-01-30 12:51::22.756

Time (s),Channel 1 (V),Channel 2 (V)
0.32984074999999996,0.81162831908930422,2.4818387845778709
0.32996699999999995,0.81162831908930422,2.4828437255559375
0.33009324999999995,0.81162831908930422,2.4848536075120702
0.33021949999999994,0.81162831908930422,2.4855235681641146
0.33034574999999999,0.81162831908930422,2.4871984697942251
0.33047199999999999,0.81162831908930422,2.487868430446269
0.33059824999999998,0.81162831908930422,2.4895433320763796
0.33072449999999998,0.81196462532498581,2.4902132927284235
0.33085074999999997,0.81196462532498581,2.4925581550105784
0.33097699999999997,0.81196462532498581,2.4925581550105784
0.33110324999999996,0.81196462532498581,2.4952379976187551
0.33122949999999995,0.81162831908930422,2.4955729779447777
0.33135574999999995,0.81196462532498581,2.4979178402269322
0.33148199999999994,0.81162831908930422,2.4979178402269322
0.33160824999999999,0.81196462532498581,2.4992577615310205
0.33173449999999999,0.81162831908930422,2.4999277221830649
0.33186074999999998,0.81196462532498581,2.5019376041391972
0.33198699999999998,0.81196462532498581,2.5026075647912416
0.33211324999999997,0.81196462532498581,2.5046174467473743
0.33223949999999997,0.81196462532498581,2.5052874073994182
0.33236574999999996,0.81196462532498581,2.5069623090295288
0.33249199999999995,0.81196462532498581,2.5079672500075954
0.33261824999999995,0.81196462532498581,2.5096421516377059
0.33274449999999994,0.81196462532498581,2.5103121122897498
0.33287074999999999,0.81196462532498581,2.5113170532678164
0.33299699999999999,0.81230093156066718,2.5126569745719047
0.33312324999999998,0.81230093156066718,2.5139968958759935
0.33324949999999998,0.81230093156066718,2.5153368171800814
0.33337574999999997,0.81230093156066718,2.516341758158148
0.33350199999999997,0.81230093156066718,2.5180166597882585
0.33362824999999996,0.81230093156066718,2.5190216007663251
0.33375449999999995,0.81230093156066718,2.520361522070413
0.33388074999999995,0.81230093156066718,2.5206965023964356
0.33400699999999994,0.81230093156066718,2.5227063843525679
0.33413324999999999,0.81230093156066718,2.5233763450046123
0.33425949999999999,0.81230093156066718,2.5257212072867672
0.33438574999999998,0.81230093156066718,2.5257212072867672
0.33451199999999998,0.81230093156066718,2.5284010498949439
0.33463824999999997,0.81230093156066718,2.5284010498949439
0.33476449999999996,0.81230093156066718,2.5307459121770988
0.33489074999999996,0.81230093156066718,2.5307459121770988
0.33501699999999995,0.81230093156066718,2.5324208138072093
0.33514324999999995,0.81230093156066718,2.5330907744592532
0.33526949999999994,0.81263723779634878,2.535100656415386
0.33539574999999999,0.81263723779634878,2.5357706170674303
0.33552199999999999,0.81263723779634878,2.5377804990235626
0.33564824999999998,0.81230093156066718,2.538450459675607
0.33577449999999998,0.81263723779634878,2.5401253613057175
0.33590074999999997,0.81263723779634878,2.5411303022837837
0.33602699999999996,0.81263723779634878,2.5424702235878724
0.33615324999999996,0.81230093156066718,2.5434751645659386
0.33627949999999995,0.81230093156066718,2.5444801055440047
0.33640574999999995,0.81263723779634878,2.5458200268480935
0.33653199999999994,0.81263723779634878,2.5468249678261596
0.33665824999999999,0.81263723779634878,2.5484998694562702
0.33678449999999999,0.81263723779634878,2.5495048104343363
0.33691074999999998,0.81263723779634878,2.5511797120644468
0.33703699999999998,0.81263723779634878,2.5518496727164912
0.33716324999999997,0.81263723779634878,2.5535245743466017
0.33728949999999996,0.81297354403203037,2.5538595546726235
0.33741574999999996,0.81263723779634878,2.5562044169547784
0.33754199999999995,0.81263723779634878,2.5562044169547784
0.33766824999999995,0.81263723779634878,2.5585492792369333
0.33779449999999994,0.81263723779634878,2.5588842595629551
0.33792074999999999,0.81297354403203037,2.56122912184511
0.33804699999999999,0.81297354403203037,2.5615641021711322
0.33817324999999998,0.81297354403203037,2.5639089644532866
0.33829949999999998,0.81297354403203037,2.5642439447793093
0.33842574999999997,0.81297354403203037,2.5659188464094198
0.33855199999999996,0.81297354403203037,2.5665888070614638
0.33867824999999996,0.81297354403203037,2.5682637086915743
0.33880449999999995,0.81297354403203037,2.5689336693436182
0.33893074999999995,0.81297354403203037,2.5706085709737287
0.33905699999999994,0.81330985026771196,2.5716135119517953
0.33918324999999999,0.81330985026771196,2.5732884135819059
0.33930949999999999,0.81330985026771196,2.5742933545599724
0.33943574999999998,0.81330985026771196,2.575968256190083
0.33956199999999997,0.81297354403203037,2.5766382168421269
0.33968824999999997,0.81330985026771196,2.5776431578201935
0.33981449999999996,0.81330985026771196,2.579318059450304
0.33994074999999996,0.81330985026771196,2.5803230004283702
0.34006699999999995,0.81330985026771196,2.5819979020584807
0.34019324999999995,0.81330985026771196,2.5826678627105251
0.34031949999999994,0.81330985026771196,2.5846777446666573
0.34044574999999999,0.81330985026771196,2.5853477053187017
0.34057199999999999,0.81330985026771196,2.5866876266227901
0.34069824999999998,0.81330985026771196,2.5870226069488123
0.34082449999999997,0.81330985026771196,2.5890324889049445
0.34095074999999997,0.81330985026771196,2.5893674692309672
0.34107699999999996,0.81330985026771196,2.5917123315131216
0.34120324999999996,0.81330985026771196,2.5920473118391438
0.34132949999999995,0.81330985026771196,2.5943921741212987
0.34145574999999995,0.81330985026771196,2.5947271544473205
0.34158199999999994,0.81364615650339356,2.5970720167294754
0.34170824999999999,0.81364615650339356,2.5977419773815198
0.34183449999999999,0.81364615650339356,2.5987469183595859
0.34196074999999998,0.81364615650339356,2.5997518593376521
0.34208699999999997,0.81364615650339356,2.6014267609677626
0.34221324999999997,0.81364615650339356,2.6024317019458287
0.34233949999999996,0.81364615650339356,2.6041066035759393
0.34246574999999996,0.81364615650339356,2.6047765642279836
0.34259199999999995,0.81364615650339356,2.6061164855320724
0.34271824999999995,0.81364615650339356,2.6074564068361603
0.34284449999999994,0.81364615650339356,2.6084613478142269
0.34297074999999999,0.81364615650339356,2.6098012691183152
0.34309699999999999,0.81364615650339356,2.6108062100963814
0.34322324999999998,0.81364615650339356,2.6124811117264919
0.34334949999999997,0.81364615650339356,2.6131510723785363
0.34347574999999997,0.81398246273907515,2.615160954334669
0.34360199999999996,0.81398246273907515,2.6158309149867129
